| 물건ID | 물건명 | 주요 기능 | 보관 방법 | 위험도 |
| :--- | :--- | :--- | :--- | :--- |
| ITEM_01 | 순간이동 리모컨 | 버튼을 누르면 거실에서 주방으로 즉시 이동 | 벨벳 주머니 보관 | ★☆☆☆☆ |
| ITEM_02 | 투명 망토(고장) | 입으면 몸은 그대로고 옷만 투명해짐 | 접어서 보관 | ★★★★☆ |
| ITEM_03 | 수다쟁이 거울 | 거울을 볼 때마다 외모에 대해 팩트 폭격함 | 방음 상자 보관 | ★★☆☆☆ |
| ITEM_04 | 중력 역전 베개 | 베고 자면 천장에 붙어서 자게 됨 | 아침 낙하 주의 | ★★★☆☆ |
| ITEM_05 | 매운맛 얼음 | 입에 넣으면 차갑지만 맛은 극한의 매운맛 | 냉동실 보관 필수 | ★☆☆☆☆ |
| ITEM_06 | 기억 저장 장화 | 걸었던 모든 길의 풍경을 신발에 저장함 | 햇빛에 말려 보관 | ★☆☆☆☆ |
| ITEM_07 | 말하는 프라이팬 | 요리가 타려고 하면 비명을 질러 알림 | 주방 선반 보관 | ★★☆☆☆ |
| ITEM_08 | 춤추는 칫솔 | 양치를 시작하면 신나는 음악과 함께 진동 | 컵에 세워서 보관 | ★☆☆☆☆ |
| ITEM_09 | 예언하는 종이컵 | 물을 마시면 컵 바닥에 5분 뒤 미래가 적힘 | 사용 후 즉시 폐기 | ★★★☆☆ |
| ITEM_10 | 날아다니는 책 | 읽고 싶은 페이지를 말하면 스스로 펼쳐짐 | 책장에 묶어서 보관 | ★★☆☆☆ |
